strategy,config,score_mean_across_seeds,score_std_across_seeds,score_min,score_max,wall_clock_mean,n_seeds
boltzmann,temp_exp,-0.12000000000000013,0.21213203435596428,-0.27000000000000013,0.029999999999999874,6.152958869934082,2
boltzmann,temp_linear,-0.34500000000000003,0.2899137802864843,-0.5499999999999999,-0.14000000000000015,8.101251125335693,2
epsilon,eps_exp,-0.1725000000000001,0.06010407640085656,-0.2150000000000001,-0.13000000000000006,7.429321646690369,2
epsilon,eps_linear,-0.255,0.07071067811865468,-0.305,-0.20500000000000007,6.017655611038208,2
